iter	RMSE
0	2.446427396
1	2.413600356
2	2.382564175
3	2.356031798
4	2.326964666
5	2.303278063
6	2.283115523
7	2.261295545
8	2.239499683
9	2.218622762
10	2.198957745
11	2.182026769
12	2.164863616
13	2.1498411
14	2.137999562
15	2.123210577
16	2.111714305
17	2.100002741
18	2.089911561
19	2.079254239
20	2.068679999
21	2.061368662
22	2.049767239
23	2.039280737
24	2.030422197
25	2.023681607
26	2.013440475
27	2.00416278
28	1.996175852
29	1.988687458
30	1.979301932
31	1.973295758
32	1.966968879
33	1.959529258
34	1.954705088
35	1.949059482
36	1.944258806
37	1.938339818
38	1.930846748
39	1.925903716
40	1.921759658
41	1.913109363
42	1.908853719
43	1.904791139
44	1.899660451
45	1.891798623
46	1.886765528
47	1.882575834
48	1.878338311
49	1.875462832
50	1.872569368
51	1.868559393
52	1.862741
53	1.858999127
54	1.855689978
55	1.852740863
56	1.849686342
57	1.846932145
58	1.844113332
59	1.840618489
60	1.836897798
61	1.832415308
62	1.827939994
63	1.82436222
64	1.82177773
65	1.818490498
66	1.815592005
67	1.811528425
68	1.808887197
69	1.805739396
70	1.801698707
71	1.800262454
72	1.797509761
73	1.793164825
74	1.79117963
75	1.788504985
76	1.786522041
77	1.78329084
78	1.779917469
79	1.77827174
80	1.774408901
81	1.772711379
82	1.77070496
83	1.768691615
84	1.76550517
85	1.761637582
86	1.760430039
87	1.758790389
88	1.758010849
89	1.757303305
90	1.755252623
91	1.753815651
92	1.75233259
93	1.749865881
94	1.746887139
95	1.744993346
96	1.741097802
97	1.738137951
98	1.736129685
99	1.733924665
100	1.733042848
101	1.731492868
102	1.728498545
103	1.726283482
104	1.722919103
105	1.71928706
106	1.718119342
107	1.717645478
108	1.713294555
109	1.709490936
110	1.707477481
111	1.703434331
112	1.701781548
113	1.699204838
114	1.69683195
115	1.696218706
116	1.693517637
117	1.691816556
118	1.689876052
119	1.6893157
120	1.68803805
121	1.684031343
122	1.68310567
123	1.680983025
124	1.6803018
125	1.676500194
126	1.674427608
127	1.672100606
128	1.671129553
129	1.667666927
130	1.667034282
131	1.666167173
132	1.665017545
133	1.663405965
134	1.661872385
135	1.658246179
136	1.656550735
137	1.653973867
138	1.650357459
139	1.649047641
140	1.648128027
141	1.646668343
142	1.644302011
143	1.641123468
144	1.638750684
145	1.637501657
146	1.6360988
147	1.633045835
148	1.629855208
149	1.624049797
150	1.623061983
151	1.619156963
152	1.615292383
153	1.614189579
154	1.612176246
155	1.611602737
156	1.610200899
157	1.608594581
158	1.60259116
159	1.602000287
160	1.600665568
161	1.599771642
162	1.598963654
163	1.595862089
164	1.594513136
165	1.59019568
166	1.588871978
167	1.587124314
168	1.586198277
169	1.5855673
170	1.583998115
171	1.582847114
172	1.582072434
173	1.581359365
174	1.580351051
175	1.57829889
176	1.577734456
177	1.577317625
