iter	Passed	Remaining
0	0	576
1	0	569
2	0	565
3	1	561
4	1	561
5	1	580
6	2	581
7	2	580
8	2	577
9	2	575
10	3	581
11	3	589
12	3	594
13	4	595
14	4	591
15	4	593
16	5	598
17	5	597
18	5	588
19	5	588
20	6	585
21	6	583
22	6	581
23	7	582
24	7	585
25	7	583
26	7	582
27	8	581
28	8	581
29	8	579
30	9	579
31	9	578
32	9	578
33	9	576
34	10	575
35	10	574
36	10	575
37	11	576
38	11	575
39	11	577
40	12	577
41	12	575
42	12	575
43	12	574
44	13	572
45	13	572
46	13	572
47	14	572
48	14	573
49	14	572
50	15	575
51	15	574
52	15	573
53	15	573
54	16	573
55	16	573
56	16	573
57	17	572
58	17	571
59	17	570
60	17	569
61	18	569
62	18	569
63	18	568
64	19	568
65	19	568
66	19	569
67	20	568
68	20	567
69	20	566
70	20	568
71	21	567
72	21	567
73	21	566
74	22	566
75	22	566
76	22	565
77	23	567
78	23	566
79	23	566
80	23	565
81	24	565
82	24	565
83	24	564
84	25	563
85	25	563
86	25	563
87	25	562
88	26	563
89	26	563
90	26	562
91	27	562
92	27	562
93	27	561
94	27	560
95	28	560
96	28	559
97	28	558
98	29	558
99	29	557
100	29	557
101	29	557
102	30	556
103	30	555
104	30	556
105	31	556
106	31	555
107	31	555
108	31	555
109	32	554
110	32	554
111	32	553
112	33	553
113	33	554
114	33	554
115	34	554
116	34	554
117	34	554
118	35	553
119	35	553
120	35	553
121	35	552
122	36	552
123	36	552
124	36	551
125	37	551
126	37	550
127	37	550
128	37	549
129	38	549
130	38	548
131	38	548
132	39	548
133	39	548
134	39	549
135	40	549
136	40	549
137	40	549
138	41	549
139	41	548
140	41	548
141	41	547
142	42	546
143	42	546
144	42	546
145	43	546
146	43	546
147	43	545
148	43	545
149	44	546
150	44	545
151	44	545
152	45	544
153	45	545
154	45	544
155	46	545
156	46	544
157	46	545
158	47	545
159	47	545
160	47	544
161	47	543
162	48	543
163	48	542
164	48	542
165	49	541
166	49	542
167	49	542
168	50	541
169	50	541
170	50	541
171	50	540
172	51	540
173	51	539
174	51	539
175	52	539
176	52	539
177	52	538
178	52	538
179	53	537
180	53	537
181	53	537
182	54	537
183	54	536
184	54	536
185	55	536
186	55	536
187	55	536
188	55	536
189	56	535
190	56	535
191	56	534
192	57	534
193	57	534
194	57	533
195	57	533
196	58	533
197	58	532
198	58	532
199	59	531
200	59	531
201	59	531
202	60	531
203	60	531
204	60	531
205	60	530
206	61	530
207	61	530
208	61	529
209	62	529
210	62	529
211	62	529
212	63	529
213	63	528
214	63	528
215	63	527
216	64	527
217	64	526
218	64	526
219	65	526
220	65	525
221	65	525
222	65	524
223	66	524
224	66	524
225	66	523
226	67	523
227	67	523
228	67	523
229	67	522
230	68	522
231	68	522
232	68	521
233	69	520
234	69	520
235	69	520
236	69	520
237	70	519
238	71	524
239	71	523
240	71	522
241	71	522
242	72	521
243	72	521
244	72	520
245	73	520
246	73	520
247	73	519
248	73	519
249	74	518
250	74	518
251	74	518
252	74	517
253	75	517
254	75	516
255	75	516
256	76	516
257	76	516
258	76	515
259	77	515
260	77	515
261	77	514
262	77	514
263	78	514
264	78	514
265	78	514
266	79	514
267	79	513
268	79	513
269	80	512
270	80	512
271	80	511
272	80	511
273	81	511
274	81	510
275	81	510
276	81	509
277	82	509
278	82	509
279	82	507
280	82	507
281	83	507
282	83	506
283	83	506
284	84	505
285	84	505
286	84	505
287	84	504
288	85	504
289	85	503
290	85	503
291	86	503
292	86	503
293	86	502
294	86	502
295	87	501
296	87	501
297	87	501
298	88	500
299	88	500
300	88	499
301	88	499
302	89	499
303	89	498
304	89	498
305	90	498
306	90	498
307	90	497
308	90	497
309	91	497
310	91	497
311	91	496
312	92	496
313	92	496
314	92	495
315	92	495
316	93	494
317	93	493
318	93	493
319	93	493
320	94	493
321	94	493
322	94	492
323	95	492
324	95	491
325	95	491
326	96	491
327	96	491
328	96	490
329	96	490
330	97	489
331	97	489
332	97	488
333	97	488
334	98	488
335	98	489
336	99	492
337	100	492
338	100	492
339	100	492
340	101	491
341	101	491
342	101	490
343	101	490
344	102	490
345	102	490
346	102	489
347	103	489
348	103	489
349	103	488
350	103	488
351	104	488
352	104	487
353	104	487
354	105	487
355	105	486
356	105	486
357	105	486
358	106	485
359	106	485
360	106	485
361	107	485
362	107	485
363	107	484
364	108	484
365	108	484
366	108	483
367	109	483
368	109	483
369	109	482
370	109	482
371	110	482
372	110	481
373	110	481
374	111	481
375	111	480
376	111	480
377	111	480
378	112	479
379	112	479
380	112	479
381	113	478
382	113	478
383	113	478
384	113	478
385	114	477
386	114	477
387	114	477
388	115	476
389	115	476
390	115	476
391	116	476
392	116	476
393	116	475
394	116	475
395	117	474
396	117	474
397	117	474
398	118	473
399	118	473
400	118	473
401	118	472
402	119	472
403	119	472
404	119	471
405	120	471
406	120	471
407	120	470
408	120	470
409	121	470
410	121	469
411	121	469
412	122	469
413	122	468
414	122	468
415	122	468
416	123	467
417	123	467
418	123	467
419	124	466
420	124	466
421	124	466
422	124	465
423	125	465
424	125	465
425	125	464
426	126	464
427	126	464
428	126	464
429	127	463
430	127	463
431	127	463
432	127	462
433	128	462
434	128	462
435	128	461
436	129	461
437	129	461
438	129	460
439	129	460
440	130	460
441	130	460
442	131	460
443	131	460
444	131	459
445	131	459
446	132	459
447	132	459
448	132	458
449	133	458
450	133	458
451	133	457
452	133	457
453	134	457
454	134	456
455	134	456
456	135	456
457	135	456
458	135	455
459	136	455
460	136	454
461	136	454
462	136	454
463	137	454
464	137	453
465	137	453
466	138	453
467	138	453
468	138	452
469	138	452
470	139	452
471	139	451
472	139	451
473	140	451
474	140	450
475	140	450
476	140	450
477	141	449
478	141	449
479	141	449
480	142	448
481	142	448
482	142	448
483	143	447
484	143	447
485	143	447
486	143	446
487	144	446
488	144	446
489	144	445
490	144	445
491	145	445
492	145	444
493	145	444
494	146	444
495	146	443
496	146	443
497	146	443
498	147	443
499	147	442
500	147	442
501	148	442
502	148	441
503	148	441
504	148	441
505	149	440
506	149	440
507	149	440
508	150	439
509	150	439
510	150	439
511	151	438
512	151	438
513	151	438
514	151	438
515	152	437
516	152	437
517	152	437
518	153	436
519	153	436
520	153	436
521	154	436
522	154	435
523	154	435
524	154	435
525	155	435
526	155	434
527	155	434
528	156	433
529	156	433
